ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e of CH4,0.00602
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e of N2O,0.00629
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e,0.25975
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e of CO2,0.25849
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e of CH4,0.00062
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),kg CO2e of N2O,0.00064
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),kg CO2e,0.24677
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),kg CO2e of CO2,0.24557
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),kg CO2e of CH4,0.00059
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),kg CO2e of N2O,0.00061
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,kg CO2e,3032.89
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,kg CO2e of CO2,2988.85
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,kg CO2e of CH4,0.31
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,kg CO2e of N2O,43.73
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,kg CO2e,2.55784
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,kg CO2e of CO2,2.52058
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,kg CO2e of CH4,0.00026
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,kg CO2e of N2O,0.037
